Gene	IID	a	b	c	reps	outlier
VCY	1	2.603773585	2.555878084	3.095791001	3	3.095791001
HSFY	1	1.882629108	2.267605634	2.286384977	3	1.882629108
BPY	1	2.769953052	3.323943662	3.136150235	3	2.769953052
CDY	1	3.647887324	3.112676056	3.610328638	3	3.112676056
RBMY	1	11.36150235	12.67605634	11.92488263	3	12.67605634
DAZ	1	3.93	3.66	3.8	3	3.66
XKRY	1	1.948356808	2.014084507	2.056338028	3	1.948356808
PRY	1	1.98	2.02	2.07	3	2.07
TSPY	1	35.58685446	34.36619718	35.63380282	3	34.36619718
HSFY	2	1.533856722	2.263984298	2.378802748	3	1.533856722
CDY	2	3.89	4.83	5.21	3	3.89
BPY	2	4.5	3.74	4.59	3	3.74
XKRY	2	2.05	1.87	2.02	3	1.87
TSPY	2	28.58684985	30.08832188	30.55937193	3	28.58684985
RBMY	2	9.71	9.28	9.38	3	9.71
DAZ	2	9.42	9.68	9.42	3	9.68
PRY	2	2.31	2.32	2.32	3	2.31
VCY	2	2.73196986	2.735199139	2.738428418	3	2.73196986
VCY	3	1.617128463	2.115869018	2.146095718	3	1.617128463
PRY	3	0.99	1.18	1.17	3	0.99
DAZ	3	1.95	2.3	2.16	3	1.95
CDY	3	2.78	2.7	2.87	3	2.87
XKRY	3	1.92	2.03	2.01	3	1.92
HSFY	3	2.03	1.98	2.09	3	2.09
RBMY	3	8.24	8.39	7.99	3	7.99
BPY	3	0.96	0.92	0.96	3	0.92
TSPY	3	24.56	24.82	25.13	3	25.13
CDY	4	3.3	4.994117647	4.782352941	3	3.3
VCY	4	2.00122399	2.221542228	2.203182375	3	2.00122399
PRY	4	2.35	2.39	2.2	3	2.2
DAZ	4	5.38	5.14	5.54	3	5.14
BPY	4	3.423529412	3.529411765	3.635294118	3	3.635294118
TSPY	4	24.82941176	24.6	25.92352941	3	25.92352941
HSFY	4	2.241176471	2.241176471	2.329411765	3	2.329411765
XKRY	4	2.135294118	2.117647059	2.047058824	3	2.047058824
RBMY	4	9.847058824	9.811764706	9.9	3	9.9
VCY	5	1.501896334	2.579013906	2.654867257	3	1.501896334
PRY	5	1.43	2.24	2.45	3	1.43
CDY	5	2.88	3.91	3.97	3	2.88
BPY	5	2.66	3.12	2.93	3	2.66
XKRY	5	1.88	1.95	2.06	3	2.06
TSPY	5	24.64	26.25	26.18	3	24.64
HSFY	5	2.07	2.18	2.16	3	2.07
RBMY	5	7.59	7.81	NA	2	NA
DAZ	5	4.17	4.17	4.12	3	4.12
VCY	6	2.200573066	1.512893983	2.269340974	3	1.512893983
HSFY	6	2.543810062	2.408140192	2.662521198	3	2.408140192
PRY	6	2.66	2.44	2.61	3	2.44
XKRY	6	2.78	2.92	3.04	3	2.78
TSPY	6	31.79762578	33.49349915	33.69700396	3	31.79762578
RBMY	6	NA	13.60090447	14.16054268	2	NA
BPY	6	3.78	3.97	3.93	3	3.78
CDY	6	5.75	5.53	5.66	3	5.53
DAZ	6	5.43	5.5	5.52	3	5.43
BPY	7	1.32	3.946188341	4.394618834	3	1.32
XKRY	7	1.123318386	2.35426009	2.376681614	3	1.123318386
HSFY	7	1.390134529	2.242152466	2.533632287	3	1.390134529
CDY	7	3.02690583	4.843049327	4.910313901	3	3.02690583
TSPY	7	37.63	31.62	NA	2	NA
RBMY	7	10.52031361	10.71275837	10.00712758	3	10.00712758
PRY	7	2.19	2.07	2.09	3	2.19
VCY	7	2.366003063	2.457886677	2.320061256	3	2.457886677
DAZ	7	4.36	4.32	4.25	3	4.25
CDY	8	4.556477345	4.173580089	4.881940013	3	4.173580089
PRY	8	2.17	2.08	2.39	3	2.39
BPY	8	3.52	3.312061264	3.197192087	3	3.52
HSFY	8	2.201659221	2.373962987	2.239948947	3	2.373962987
VCY	8	2.337662338	2.41187384	2.393320965	3	2.337662338
TSPY	8	35.37970645	35.51372049	36.279515	3	36.279515
RBMY	8	10.64454371	10.77855775	10.7019783	3	10.77855775
XKRY	8	2.201659221	2.220804084	2.201659221	3	2.220804084
DAZ	8	4.36	4.38	4.36	3	4.38
HSFY	9	1.387387387	2.216216216	2.387387387	3	1.387387387
CDY	9	3.027027027	3.063063063	3.738738739	3	3.738738739
XKRY	9	1.82	1.65	1.52	3	1.82
VCY	9	3.263694268	3.072611465	3.057324841	3	3.263694268
DAZ	9	4.17	4.47	4.32	3	4.17
PRY	9	2.18	2.27	2.29	3	2.18
RBMY	9	11.89189189	11.48648649	NA	2	NA
TSPY	9	28.16	27.27	28.56	3	27.27
BPY	9	2.78	2.78	2.69	3	2.69
HSFY	10	2.55	2.29	2.58	3	2.29
VCY	10	2.248908297	2.183406114	2.401746725	3	2.401746725
XKRY	10	2.11	2.25	2.31	3	2.11
CDY	10	4.45	4.45	4.67	3	4.67
BPY	10	3.61	3.74	3.7	3	3.61
DAZ	10	5.22	5.11	5.13	3	5.22
PRY	10	2.16	2.12	2.12	3	2.16
RBMY	10	12.3	12.52	12.48	3	12.3
TSPY	10	27.75	27.73	27.31	3	27.31
HSFY	11	1.719512195	1.990853659	2.009146341	3	1.719512195
BPY	11	2.5	2.76	2.7	3	2.5
CDY	11	3.597560976	3.841463415	3.780487805	3	3.597560976
PRY	11	2.1	2.01	1.99	3	2.1
RBMY	11	10.06097561	10.39634146	9.969512195	3	10.39634146
XKRY	11	1.92	1.85	1.9	3	1.85
DAZ	11	4.02	4.02	3.97	3	3.97
VCY	11	4.402332362	4.373177843	4.43148688	3	4.373177843
TSPY	11	28.35	28.41	28.63	3	28.63
PRY	12	2.96	2.87	2.51	3	2.51
BPY	12	4.108280255	4.729299363	4.347133758	3	4.729299363
DAZ	12	3.15	3.6	3.47	3	3.15
VCY	12	4.680851064	5.191489362	4.936170213	3	5.191489362
XKRY	12	1.027070064	1.113057325	1.036624204	3	1.113057325
HSFY	12	1.437898089	1.380573248	1.356687898	3	1.437898089
RBMY	12	17.00636943	16.43312102	16.33757962	3	17.00636943
TSPY	12	16.86305732	16.71974522	17.38853503	3	17.38853503
CDY	12	2.894904459	2.947452229	2.909235669	3	2.947452229
VCY	13	1.551724138	2.297160243	2.251521298	3	1.551724138
HSFY	13	1.86023622	2.081692913	1.934055118	3	2.081692913
BPY	13	3.06	3.43	3.22	3	3.43
PRY	13	1.84	1.8	1.95	3	1.95
XKRY	13	1.92	2.02	1.95	3	2.02
TSPY	13	34.92	34.49	35.79	3	35.79
CDY	13	4.104330709	4.089566929	3.971456693	3	3.971456693
RBMY	13	9.522637795	9.315944882	9.566929134	3	9.315944882
DAZ	13	3.89	3.83	3.79	3	3.89
HSFY	14	1.64427727	1.950564213	2.337452982	3	2.337452982
BPY	14	2.05	2.51	2.71	3	2.05
CDY	14	2.675980656	3.481998925	3.385276733	3	2.675980656
RBMY	14	10.01074691	11.70338528	12.49328318	3	10.01074691
TSPY	14	30.74	34.38	34.48	3	30.74
DAZ	14	4.33	4.3	4.55	3	4.55
VCY	14	2.883495146	2.745145631	2.850728155	3	2.745145631
XKRY	14	2	1.92	2	3	1.92
PRY	14	2.17	2.13	2.2	3	2.13
RBMY	15	8.25717322	9.404888417	9.787460149	3	8.25717322
PRY	15	2.42	2.12	2.16	3	2.42
CDY	15	3.602550478	4.017003188	3.953241233	3	3.602550478
VCY	15	2.507194245	2.708633094	2.482014388	3	2.708633094
XKRY	15	1.75	1.7	1.6	3	1.6
BPY	15	3.04	2.98	3.19	3	3.19
DAZ	15	4.21	3.99	4.21	3	3.99
HSFY	15	1.92879915	1.960680128	2.021253985	3	2.021253985
TSPY	15	24.07	23.88	23.78	3	24.07
VCY	16	1.934078212	2.805586592	3.187709497	3	1.934078212
PRY	16	1.97	2.42	2.48	3	1.97
TSPY	16	32.27	38.24	39.25	3	32.27
BPY	16	2.99	3.126315789	3.354385965	3	3.354385965
XKRY	16	2.249122807	2.277192982	2.045614035	3	2.045614035
RBMY	16	13.33333333	12.56140351	13.54385965	3	12.56140351
DAZ	16	3.99	3.85	4.02	3	3.85
CDY	16	4.245614035	4.280701754	4.421052632	3	4.421052632
HSFY	16	2.168421053	2.119298246	2.126315789	3	2.168421053
CDY	17	3.569405099	4.69121813	4.92917847	3	3.569405099
HSFY	17	2.107648725	2.379603399	2.362606232	3	2.107648725
BPY	17	3.08	3.382436261	3.484419263	3	3.08
XKRY	17	2.039660057	2.243626062	2.141643059	3	2.243626062
PRY	17	2.25	2.13	2.06	3	2.25
VCY	17	2.096680256	2.079207921	2.23645894	3	2.23645894
TSPY	17	32.54957507	32.95750708	33.6203966	3	33.6203966
RBMY	17	10.53824363	10.62322946	10.8101983	3	10.8101983
DAZ	17	5.28	5.31	5.21	3	5.21
PRY	18	1.76	2.58	2.8	3	1.76
DAZ	18	4.39	3.93	4.7	3	3.93
HSFY	18	1.9030837	2.107929515	2.101321586	3	1.9030837
RBMY	18	10.969163	11.16740088	11.62995595	3	11.62995595
CDY	18	3.98	3.925110132	4.129955947	3	4.129955947
XKRY	18	1.473568282	1.50660793	1.546255507	3	1.546255507
BPY	18	3.13	3.01	3.13	3	3.01
VCY	18	2.846808511	2.923404255	2.808510638	3	2.923404255
TSPY	18	24.5154185	25.30837004	25.17621145	3	24.5154185
HSFY	19	1.799065421	1.738317757	2.177570093	3	2.177570093
DAZ	19	3.49	4.09	4.09	3	3.49
XKRY	19	1.593457944	1.747663551	1.752336449	3	1.593457944
VCY	19	2.505154639	2.695139912	2.703976436	3	2.505154639
TSPY	19	25.23364486	27.10280374	27.05607477	3	25.23364486
CDY	19	3.672897196	3.635514019	3.859813084	3	3.859813084
RBMY	19	8.457943925	8.457943925	8.130841121	3	8.130841121
PRY	19	2.14	2.19	2.2	3	2.14
BPY	19	3.19	3.121495327	3.163551402	3	3.121495327
CDY	20	3.050847458	5.118644068	5.593220339	3	3.050847458
HSFY	20	1.671186441	2.772881356	2.555932203	3	1.671186441
XKRY	20	1.844067797	2.783050847	2.738983051	3	1.844067797
RBMY	20	10.91525424	14.16949153	14.6440678	3	10.91525424
TSPY	20	17.69491525	22.6440678	23.3220339	3	17.69491525
BPY	20	3.186440678	3.86440678	3.86440678	3	3.186440678
VCY	20	2.371428571	2.632653061	2.497959184	3	2.632653061
PRY	20	2.1	2.09	2.17	3	2.17
DAZ	20	4.12	4.04	4.04	3	4.12
BPY	21	3.477272727	3.076704545	4.3125	3	4.3125
DAZ	21	3.84	4.31	4.35	3	3.84
HSFY	21	1.346590909	1.244318182	1.414772727	3	1.244318182
PRY	21	2.26	2.52	2.37	3	2.52
VCY	21	2.911764706	2.752941176	2.647058824	3	2.911764706
CDY	21	4.423295455	4.244318182	4.303977273	3	4.423295455
TSPY	21	25.82386364	25.05681818	24.97159091	3	25.82386364
XKRY	21	1.6875	1.713068182	1.670454545	3	1.713068182
RBMY	21	12.35795455	12.10227273	12.1875	3	12.35795455
HSFY	22	1.42	2.29	2.53	3	1.42
RBMY	22	9.92	12.48	13.12	3	9.92
BPY	22	3.97	NA	4.72	2	NA
CDY	22	4.8	5.17	5.57	3	5.57
TSPY	22	26.75	28.48	29.15	3	26.75
DAZ	22	6.35	6.57	6.35	3	6.57
PRY	22	2.18	2.13	2.1	3	2.18
VCY	22	2.187845304	2.218232044	2.270718232	3	2.270718232
XKRY	22	1.79	1.83	1.81	3	1.83
CDY	23	2.31	4	4.11	3	2.31
VCY	23	1.498355263	2.368421053	2.5	3	1.498355263
HSFY	23	1.22	1.74	1.78	3	1.22
BPY	23	2.55	2.81	2.93	3	2.55
RBMY	23	4.6	5.02	5.24	3	4.6
TSPY	23	34.5	35.68	35.68	3	34.5
DAZ	23	4.41	4.575	4.54	3	4.41
XKRY	23	1.55	1.54	1.55	3	1.54
