IID	BPY	CDY	DAZ	HSFY	PRY	RBMY	TSPY	VCY	XKRY	Clade	Haplogroup	major_haplo	geographic_loc
1	3.2300469485	3.629107981	3.865	2.2769953055	2	11.64319249	35.61032864	2.5798258345	2.0352112675	6	O3	O	Asia
2	4.545	5.02	9.42	2.321393523	2.32	9.33	30.323846905	2.7368137785	2.035	5	Q1	Q	Asia
3	0.96	2.74	2.23	2.005	1.175	8.315	24.69	2.130982368	2.02	17	C3	C	Asia
4	3.4764705885	4.888235294	5.46	2.241176471	2.37	9.829411765	24.71470588	2.2123623015	2.1264705885	15	I2a1b	I	Europe
5	3.025	3.94	4.17	2.17	2.345	7.7	26.215	2.6169405815	1.915	5	Q1	Q	Asia
6	3.95	5.705	5.51	2.60316563	2.635	13.880723575	33.595251555	2.23495702	2.98	3	R1 - 3	R	Europe
7	4.1704035875	4.876681614	4.34	2.3878923765	2.08	10.61653599	34.625	2.3430321595	2.365470852	19	E1b1b1a	E	Africa
8	3.2546266755	4.719208679	4.36	2.220804084	2.125	10.673261005	35.44671347	2.4025974025	2.201659221	18	E1b1a	E	Africa
9	2.78	3.045045045	4.395	2.3018018015	2.28	11.68918919	28.36	3.064968153	1.585	2	R1 - 2	R	Europe
10	3.72	4.45	5.12	2.565	2.12	12.5	27.74	2.2161572055	2.28	13	I2a2a	I	Europe
11	2.73	3.81097561	4.02	2	2	10.0152439025	28.38	4.416909621	1.91	16	G2	G	Africa
12	4.2277070065	2.902070064	3.535	1.368630573	2.915	16.38535032	16.79140127	4.8085106385	1.031847134	1	R1 - 1	R	Europe
13	3.14	4.096948819	3.81	1.897145669	1.82	9.5447834645	34.705	2.2743407705	1.935	14	E1b1a1a1g1a	E	Africa
14	2.61	3.433637829	4.315	1.7974207415	2.185	12.09833423	34.43	2.8671116505	2	10	T	T	Eurasia
15	3.01	3.9851222105	4.21	1.944739639	2.14	9.596174283	23.83	2.4946043165	1.725	15	I2a1b	I	Europe
16	3.0581578945	4.2631578945	4.005	2.1228070175	2.45	13.43859649	38.745	2.9966480445	2.2631578945	17	C3	C	Asia
17	3.433427762	4.8101983	5.295	2.3711048155	2.095	10.580736545	32.753541075	2.0879440885	2.090651558	18	E1b1a	E	Africa
18	3.13	3.952555066	4.545	2.1046255505	2.69	11.06828194	25.242290745	2.8276595745	1.490088106	3	R1 - 3	R	Europe
19	3.176775701	3.6542056075	4.09	1.768691589	2.195	8.457943925	27.079439255	2.699558174	1.75	20	E1b1b1	E	Africa
20	3.86440678	5.3559322035	4.04	2.6644067795	2.095	14.406779665	22.98305085	2.4346938775	2.761016949	11	I1	I	Europe
21	3.276988636	4.2741477275	4.33	1.380681818	2.315	12.144886365	25.014204545	2.7	1.6789772725	1	R1 - 1	R	Europe
22	4.345	4.985	6.35	2.41	2.115	12.8	28.815	2.203038674	1.8	13	I2a2a	I	Europe
23	2.87	4.055	4.5575	1.76	2.485	5.13	35.68	2.4342105265	1.55	19	E1b1b1a	E	Africa
24	4.1459896135	5.331794576	5.495	2.622619735	2.695	11.442585115	33.522792845	2.184006879	2.336987882	7	O2	O	Asia
25	2.86729634	4.0085106385	3.515	2.0011806375	2.07	9.1489361705	27.75974026	2.1364452425	1.7532467535	13	I2a2a	I	Europe
26	4.535	4.4168110915	4.205	2.539861352	2	15.051993065	32.651646445	2.1589018305	2.506065858	4	R1 - 4	R	Europe
27	3.495	4.538593482	4.035	2.2016129035	2.06	19.415322585	23.08	3.0714285715	1.9	11	I1	I	Europe
28	3.51	4.8524404085	5.495	2.387060159	2.6	12.68444949	34.595	3.013215859	1.810961969	1	R1 - 1	R	Europe
29	2.725	3.655	4.325	1.685	2.005	10.695	21.87	2.248756219	1.71	2	R1 - 2	R	Europe
30	8.506616257	5.780916844	5.51	2.758528785	2.35	10.82622601	35.54	2.251461988	2.69	6	O3	O	Asia
31	3.368789809	4.3949044585	4.3	2.176433121	2.555	11.15923567	21.89808917	2.9617834395	2.096178344	1	R1 - 1	R	Europe
32	2.100360577	3.1099759615	2.31	2.109375	2.24	8.194110577	26.547475965	2.4591708545	1.856971154	7	O2	O	Asia
33	0.9802982955	3.2386363635	2.435	2.002840909	2.3	7.7663352275	29.49928977	2.4609375	1.864346591	5	Q1	Q	Asia
34	2.985	4.1713286715	4.035	1.9825174825	2.235	9.79020979	29.125	2.392086331	1.825	20	E1b1b1	E	Africa
35	3.616191904	3.64	3.805	2.025	1.835	10.835	29.15	2.457920792	2.225	2	R1 - 2	R	Europe
36	3.39	4.25	3.67	2.195	1.96	10.18	29.365	2.04	2.195	7	O2	O	Asia
37	2.825	4.444592668	3.34	2.315682281	1.595	10.417515275	32.260692465	1.6949634445	2.1736252545	3	R1 - 3	R	Europe
38	2.910233645	4.182242991	4.115	1.706775701	2.065	14.521028035	22.62850467	2.491610738	2.039719626	13	I2a2a	I	Europe
39	3.535	4.93	4.65	2.325	2.165	10.7	40.275	2.7283464565	2.145	14	E1b1a1a1g1a	E	Africa
40	2.65	3.0438756855	4.025	1.8372943325	2.19	8.692870201	33.36	2.32096184	1.78	14	E1b1a1a1g1a	E	Africa
41	3.485	4.4439935065	4.835	1.9931006495	2.26	13.69724026	28.415	1.8503552395	2.12	13	I2a2a	I	Europe
42	1.8228498075	3.3632862645	4.785	1.8741976895	2.035	8.003851091	26.27727856	2.0589770355	1.527599487	19	E1b1b1a	E	Africa
43	2.2815820385	3.165971959	2.565	1.392572944	1.88	7.4801061005	29.38613111	2.219117647	1.5915119365	14	E1b1a1a1g1a	E	Africa
44	3.52	4.280487805	4.28	2.2957317075	2.065	9.338414634	37.865	2.3243412795	1.735	20	E1b1b1	E	Africa
45	6.5233415235	5.2076167075	8.46	2.365	2.165	9.877149877	35.43	2.8734939755	1.8796068795	16	G2	G	Africa
46	3.8596491225	5.5116959065	5.56	2.5	2.66	7.0906432745	37.11988304	2.687937063	2.1228070175	19	E1b1b1a	E	Africa
47	3.560176991	4.165486726	4.325	2.4663716815	2.12	11.78761062	33.477876105	3.2729831145	1.8982300885	18	E1b1a	E	Africa
48	2.3	3.2383327395	2.795	2.1375133595	2.755	9.1645885285	32.28	2.0426123205	2.035	18	E1b1a	E	Africa
49	3.1996224635	4.339310996	3.985	2.3147711185	1.925	7.4964605945	31.720151015	2.268650632	2.0174610665	14	E1b1a1a1g1a	E	Africa
50	5.755	5.875	6.415	2.195	2.25	15.63	36.225	2.369747899	2.315	10	T	T	Eurasia
